summonerName,championId,role,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,totalMinionsKilled,win,dragons,barons,turretsKilled
Rcify,106,JUNGLE,10,7,8,24975,41808,13068,25,False,3.0,0.0,4.0
Khal Drοgo,266,MIDDLE,7,8,12,32888,39614,13848,228,False,3.0,0.0,4.0
Toda Raba,145,BOTTOM,3,9,7,23913,26236,10136,183,False,3.0,0.0,4.0
iLickBriarsFeet,89,UTILITY,1,12,20,9776,33185,7729,28,False,3.0,0.0,4.0
Razetheon,80,MIDDLE,2,7,12,18107,21017,10286,144,True,0.0,1.0,7.0
ContuletzuTOXIC,104,JUNGLE,2,5,16,20310,25325,12138,32,True,0.0,1.0,7.0
Khal Drοgo,3,TOP,2,3,18,16389,20568,9880,162,True,0.0,1.0,7.0
Toda Raba,145,BOTTOM,14,4,12,33831,14854,16647,198,True,0.0,1.0,7.0
radici,555,UTILITY,13,8,12,15665,18416,12365,35,True,0.0,1.0,7.0
Jax the Gripper,54,TOP,4,3,9,13770,26249,9386,168,False,4.0,0.0,3.0
I LOVE SHALLTEAR,233,JUNGLE,10,8,5,14008,36439,12137,7,False,4.0,0.0,3.0
Śhâcø,4,MIDDLE,5,2,13,17860,18993,12973,182,False,4.0,0.0,3.0
on top,110,BOTTOM,6,10,13,22976,23614,11827,220,False,4.0,0.0,3.0
iLickBriarsFeet,89,UTILITY,2,10,17,7971,30079,7709,30,False,4.0,0.0,3.0
bIue rose,24,TOP,1,5,5,9257,16027,5331,84,False,0.0,0.0,0.0
Director,28,JUNGLE,10,3,2,14687,17312,8551,3,False,0.0,0.0,0.0
,238,MIDDLE,2,7,3,9819,10744,6448,114,False,0.0,0.0,0.0
Lyvie,119,BOTTOM,3,7,6,7011,12148,5409,69,False,0.0,0.0,0.0
meckill123,432,UTILITY,2,10,8,5452,14694,4892,8,False,0.0,0.0,0.0
CZ Anivia OTP CZ,34,TOP,0,4,5,9690,13749,6405,126,True,2.0,0.0,5.0
I LOVE SHALLTEAR,233,JUNGLE,6,3,5,8207,17081,7468,16,True,2.0,0.0,5.0
R1 QIYANA,246,MIDDLE,4,3,2,7370,8390,6909,107,True,2.0,0.0,5.0
FMF,236,BOTTOM,19,7,2,25667,17308,12240,115,True,2.0,0.0,5.0
LUwUTown,44,UTILITY,3,3,19,7024,16050,8090,17,True,2.0,0.0,5.0
AKSU X XN88AX,240,TOP,11,2,10,23807,24152,14649,193,True,1.0,1.0,7.0
bIue rose,412,UTILITY,2,5,23,8464,19238,7876,13,True,1.0,1.0,7.0
Iqushi,55,MIDDLE,12,6,12,24664,28767,12586,141,True,1.0,1.0,7.0
greek ad,30,BOTTOM,7,4,10,25442,16705,11848,189,True,1.0,1.0,7.0
ScalleS,121,JUNGLE,8,6,7,16837,28598,11017,7,True,1.0,1.0,7.0
NGRGLDNGINJWLW,777,TOP,5,8,0,17952,25493,9305,193,False,3.0,0.0,0.0
I LOVE SHALLTEAR,233,JUNGLE,10,10,7,23758,37842,11416,33,False,3.0,0.0,0.0
,43,MIDDLE,2,12,14,22781,27421,7264,98,False,3.0,0.0,0.0
,236,BOTTOM,3,5,3,12604,15085,9141,210,False,3.0,0.0,0.0
neXt Pităăăr,267,UTILITY,3,5,15,9857,14383,7111,30,False,3.0,0.0,0.0
Josip1953,875,TOP,4,9,2,11154,28121,8979,156,False,1.0,0.0,2.0
I LOVE SHALLTEAR,233,JUNGLE,3,9,9,18502,34236,10879,30,False,1.0,0.0,2.0
XiaoTaoQi,268,MIDDLE,5,6,3,21290,19433,9755,183,False,1.0,0.0,2.0
Yεεzuss,119,BOTTOM,3,6,3,14278,19042,10499,187,False,1.0,0.0,2.0
A1M,43,UTILITY,4,9,7,17430,21996,7408,40,False,1.0,0.0,2.0
4237852389754233,6,TOP,8,2,6,19559,19758,13222,203,True,2.0,1.0,11.0
16 Lineς,245,JUNGLE,13,3,11,26643,31456,15361,23,True,2.0,1.0,11.0
UrTimeIsLimited,910,MIDDLE,4,5,15,16756,17016,10671,178,True,2.0,1.0,11.0
Cristi VM,81,BOTTOM,12,4,15,33818,23045,14043,170,True,2.0,1.0,11.0
u3Pu,201,UTILITY,2,5,26,8879,22944,9239,25,True,2.0,1.0,11.0
Federals1,86,TOP,4,6,5,13548,32588,10467,211,True,3.0,1.0,8.0
PesteDeVenetia,203,JUNGLE,19,6,7,30195,28423,17160,12,True,3.0,1.0,8.0
Tomara,103,MIDDLE,5,4,7,13114,20560,10497,164,True,3.0,1.0,8.0
Revresuar,21,BOTTOM,6,5,15,25325,15009,15660,238,True,3.0,1.0,8.0
Suicidal Supp,143,UTILITY,4,6,13,17081,16361,9448,41,True,3.0,1.0,8.0
Boa Hancock,6,TOP,7,8,3,24838,23444,11676,186,False,0.0,0.0,2.0
I LOVE SHALLTEAR,233,JUNGLE,6,9,8,13117,30176,11087,14,False,0.0,0.0,2.0
,38,MIDDLE,7,7,6,24476,25693,10837,173,False,0.0,0.0,2.0
Just Unlυcky,202,BOTTOM,4,4,8,13150,15882,10891,219,False,0.0,0.0,2.0
tempiqvyxtvklrki,412,UTILITY,3,10,7,5741,20751,7316,36,False,0.0,0.0,2.0
Air Duck,133,TOP,6,2,1,9917,7776,8002,117,True,1.0,0.0,3.0
I LOVE SHALLTEAR,233,JUNGLE,5,0,8,7903,12355,6851,5,True,1.0,0.0,3.0
Sexy Qiyana Feet,142,MIDDLE,11,1,2,14909,7724,7485,109,True,1.0,0.0,3.0
Lyvie,145,BOTTOM,7,1,3,8503,5050,7605,133,True,1.0,0.0,3.0
neXt Pităăăr,497,UTILITY,0,0,15,3330,5192,4799,18,True,1.0,0.0,3.0
TheGuyThatKnocks,85,TOP,0,5,2,5921,7955,4564,97,False,0.0,0.0,0.0
4 monkey 1 pig,246,JUNGLE,3,4,0,4924,13827,6421,15,False,0.0,0.0,0.0
