Player Name,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Grenade Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammate / Round,Saved Teammates / Round,Rating 2.0
bobeksde,3305,59.0%,3518,0.94,76.6,5.7,211,4857,0.68,0.19,0.72,0.10,0.08,1.04
Walco,2511,58.8%,2568,0.98,71.7,6.4,177,3823,0.66,0.18,0.67,0.11,0.10,1.04
xiELO,2505,60.9%,2657,0.94,74.7,4.4,171,3748,0.67,0.19,0.71,0.12,0.11,1.04
VINI,3545,48.8%,3658,0.97,70.4,5.6,270,5758,0.62,0.20,0.64,0.10,0.09,1.04
Marix,3461,55.0%,3513,0.99,73.6,4.6,227,5055,0.68,0.16,0.69,0.10,0.11,1.03
maaryy,6157,50.6%,6275,0.98,71.2,4.7,430,9661,0.64,0.19,0.65,0.10,0.10,1.03
bnc,3303,46.3%,3490,0.95,74.0,4.7,220,5003,0.66,0.19,0.70,0.11,0.10,1.03
MUTiRiS,2999,50.4%,3076,0.97,70.8,6.1,221,4810,0.62,0.20,0.64,0.11,0.09,1.03
floppy,2209,50.7%,2306,0.96,71.3,3.7,159,3552,0.62,0.19,0.65,0.12,0.11,1.03
faveN,2558,55.1%,2476,1.03,69.6,4.6,177,3976,0.64,0.17,0.62,0.10,0.12,1.03
cptkurtka023,4701,59.0%,5000,0.94,72.0,3.8,322,7167,0.66,0.18,0.70,0.13,0.11,1.03
salazar,3206,36.6%,3001,1.07,64.6,3.5,226,4998,0.64,0.13,0.60,0.10,0.11,1.03
matios,4761,55.0%,4860,0.98,71.6,5.3,335,7374,0.65,0.18,0.66,0.10,0.12,1.03
1eeR,2611,44.5%,2819,0.93,72.7,7.0,185,4164,0.63,0.23,0.68,0.13,0.10,1.03
ponter,2548,53.5%,2564,0.99,70.3,5.4,178,3912,0.65,0.16,0.66,0.10,0.11,1.03
d4rty,2602,56.1%,2632,0.99,70.1,4.6,180,3942,0.66,0.18,0.67,0.12,0.14,1.03
dav1g,2388,48.1%,2591,0.92,71.5,5.2,168,3789,0.63,0.22,0.68,0.13,0.11,1.03
bluewh1te,2768,56.9%,2925,0.95,73.5,5.3,187,4250,0.65,0.18,0.69,0.11,0.11,1.03
yxngstxr,3878,58.3%,4002,0.97,70.7,3.4,265,5861,0.66,0.17,0.68,0.12,0.11,1.03
fozil,2564,59.1%,2736,0.94,73.1,4.6,180,3996,0.64,0.19,0.68,0.10,0.09,1.03
deco,3092,50.4%,3250,0.95,72.5,4.2,212,4839,0.64,0.21,0.67,0.12,0.12,1.03
Peeping,2833,58.2%,2946,0.96,70.9,4.9,196,4329,0.65,0.18,0.68,0.12,0.11,1.03
ALLE,3604,49.7%,3844,0.94,74.2,7.1,258,5694,0.63,0.21,0.68,0.09,0.08,1.03
happ,3145,48.0%,3204,0.98,71.5,4.8,223,4844,0.65,0.18,0.66,0.10,0.09,1.03
s-chilla,3731,55.1%,4006,0.93,71.3,4.5,271,5920,0.63,0.20,0.68,0.13,0.11,1.03
sinnopsyy,3459,57.0%,3806,0.91,76.7,6.9,233,5226,0.66,0.21,0.73,0.10,0.09,1.03
freshie,2552,48.8%,2712,0.94,72.6,3.8,180,3942,0.65,0.20,0.69,0.13,0.11,1.02
gxx-,2549,34.7%,2503,1.02,67.2,3.0,172,3855,0.66,0.13,0.65,0.09,0.10,1.02
Qikert,2453,62.7%,2498,0.98,68.7,4.8,176,3941,0.62,0.17,0.63,0.10,0.10,1.02
FalleN,2632,35.0%,2541,1.04,65.9,2.9,181,4024,0.65,0.11,0.63,0.09,0.09,1.02
br0,2684,58.4%,2813,0.95,70.3,4.5,190,4273,0.63,0.18,0.66,0.12,0.11,1.02
Graviti,3584,58.5%,3891,0.92,71.7,4.4,247,5528,0.65,0.18,0.70,0.13,0.11,1.02
morelz,4505,51.0%,4736,0.95,74.0,4.2,295,6726,0.67,0.17,0.70,0.09,0.09,1.02
prosus,2698,58.4%,2911,0.93,70.9,5.1,182,4149,0.65,0.18,0.70,0.12,0.10,1.02
Lack1,4608,49.2%,4989,0.92,73.3,4.3,320,7022,0.66,0.20,0.71,0.11,0.09,1.02
kreaz,2598,49.5%,2805,0.93,72.0,5.7,199,4258,0.61,0.22,0.66,0.11,0.09,1.02
Sapec,3396,56.7%,3671,0.93,71.0,5.4,234,5298,0.64,0.19,0.69,0.11,0.10,1.02
robiin,3043,51.3%,3256,0.93,72.3,9.1,215,4819,0.63,0.22,0.68,0.11,0.10,1.02
b0denmaster,3592,34.0%,3482,1.03,66.1,4.0,246,5539,0.65,0.12,0.63,0.09,0.09,1.02
stanislaw,2708,53.2%,2888,0.94,69.8,5.8,198,4308,0.63,0.19,0.67,0.12,0.09,1.02
Lcm,3787,32.6%,3706,1.02,63.3,2.9,277,6190,0.61,0.11,0.60,0.08,0.09,1.02
ArroW,3889,60.5%,4136,0.94,68.7,4.6,287,6259,0.62,0.18,0.66,0.12,0.11,1.01
Nexius,2233,56.2%,2509,0.89,73.5,5.5,159,3452,0.65,0.19,0.73,0.13,0.10,1.01
n0rb3r7,2699,49.0%,2910,0.93,69.1,4.9,197,4398,0.61,0.18,0.66,0.12,0.08,1.01
IceBerg,5149,53.6%,5802,0.89,74.3,4.8,356,7782,0.66,0.20,0.75,0.12,0.09,1.01
WOOD7,4503,30.0%,4499,1.00,66.3,5.6,335,7374,0.61,0.15,0.61,0.09,0.08,1.01
Jackinho,3856,40.0%,3926,0.98,65.2,2.5,273,6118,0.63,0.14,0.64,0.11,0.10,1.01
Calyx,2372,60.8%,2358,1.01,67.7,3.6,167,3765,0.63,0.15,0.63,0.08,0.09,1.01
FreeZe,5942,44.3%,6696,0.89,76.0,7.7,413,9250,0.64,0.22,0.72,0.11,0.09,1.01
JUST,2921,56.4%,3058,0.96,70.4,5.4,203,4616,0.63,0.18,0.66,0.10,0.11,1.01
remix,2862,31.0%,2770,1.03,64.4,2.8,202,4508,0.63,0.11,0.61,0.09,0.08,1.01
kwezz,4538,58.1%,4698,0.97,68.1,5.5,344,7502,0.60,0.18,0.63,0.10,0.10,1.01
LNZ,3608,56.5%,3850,0.94,68.4,4.5,263,5815,0.62,0.18,0.66,0.11,0.10,1.01
ztr,3120,48.6%,3314,0.94,69.6,8.3,229,5023,0.62,0.20,0.66,0.11,0.11,1.01
phr,2829,55.0%,2933,0.96,70.9,6.8,197,4511,0.63,0.17,0.65,0.09,0.11,1.01
nython,4198,36.3%,4161,1.01,62.4,2.9,313,6907,0.61,0.13,0.60,0.10,0.10,1.00
SELLTER,4486,54.3%,4741,0.95,69.4,4.1,320,7109,0.63,0.17,0.67,0.10,0.09,1.00
Goofy,2492,42.4%,2691,0.93,71.2,4.1,177,3952,0.63,0.20,0.68,0.10,0.10,1.00
volt,2299,55.2%,2426,0.95,68.6,4.0,167,3720,0.62,0.18,0.65,0.11,0.13,1.00
sAvana1,5289,57.0%,5616,0.94,70.2,4.8,380,8489,0.62,0.18,0.66,0.09,0.10,1.00
Ro1f,2786,58.4%,2981,0.93,68.3,4.8,203,4619,0.60,0.19,0.65,0.10,0.11,1.00
kyxsan,3308,51.0%,3577,0.92,69.4,6.0,238,5332,0.62,0.18,0.67,0.11,0.09,1.00
ragga,4041,51.7%,4445,0.91,74.3,3.2,268,6152,0.66,0.18,0.72,0.11,0.10,1.00
1NVISIBLEE,2714,57.4%,3089,0.88,73.7,3.8,179,4148,0.65,0.18,0.74,0.13,0.10,1.00
X5G7V,2279,48.5%,2511,0.91,69.9,4.2,167,3717,0.61,0.18,0.68,0.10,0.10,1.00
Snax,2560,45.2%,2778,0.92,71.1,5.8,181,4135,0.62,0.19,0.67,0.10,0.09,1.00
The eLiVe,5226,52.4%,5688,0.92,71.3,4.8,380,8489,0.62,0.19,0.67,0.11,0.09,1.00
Patti,3139,52.0%,3508,0.89,70.7,7.2,227,5022,0.63,0.21,0.70,0.13,0.12,1.00
